Date,Stock Name,Trend,Tweet
2021-09-30,TSLA,0,22
2021-09-30,MSFT,0,22
2021-09-30,PG,0,22
2021-09-30,META,0,22
2021-09-30,AMZN,0,22
2021-09-30,GOOG,0,22
2021-09-30,AMD,1,22
2021-09-30,AAPL,0,22
2021-09-30,NFLX,1,22
2021-09-30,TSM,0,22
2021-09-30,KO,0,22
2021-09-30,F,0,22
2021-09-30,COST,0,22
2021-09-30,DIS,0,22
2021-09-30,VZ,0,22
2021-09-30,CRM,1,22
2021-09-30,INTC,0,22
2021-09-30,BA,0,22
2021-09-30,BX,0,22
2021-09-30,NOC,0,22
2021-09-30,PYPL,1,22
2021-09-30,ENPH,0,22
2021-09-30,NIO,0,22
2021-09-30,ZS,1,22
2021-09-30,XPEV,1,22
2021-10-01,TSLA,0,34
2021-10-01,MSFT,1,34
2021-10-01,PG,0,34
2021-10-01,META,1,34
2021-10-01,AMZN,0,34
2021-10-01,GOOG,1,34
2021-10-01,AMD,0,34
2021-10-01,AAPL,1,34
2021-10-01,NFLX,1,34
2021-10-01,TSM,0,34
2021-10-01,KO,1,34
2021-10-01,F,0,34
2021-10-01,COST,0,34
2021-10-01,DIS,1,34
2021-10-01,VZ,1,34
2021-10-01,CRM,1,34
2021-10-01,INTC,1,34
2021-10-01,BA,1,34
2021-10-01,BX,0,34
2021-10-01,NOC,0,34
2021-10-01,PYPL,1,34
2021-10-01,ENPH,1,34
2021-10-01,NIO,0,34
2021-10-01,ZS,0,34
2021-10-01,XPEV,0,34
2021-10-04,TSLA,0,32
2021-10-04,MSFT,0,32
2021-10-04,PG,0,32
2021-10-04,META,0,32
2021-10-04,AMZN,0,32
2021-10-04,GOOG,0,32
2021-10-04,AMD,0,32
2021-10-04,AAPL,0,32
2021-10-04,NFLX,0,32
2021-10-04,TSM,0,32
2021-10-04,KO,0,32
2021-10-04,F,1,32
2021-10-04,COST,0,32
2021-10-04,DIS,0,32
2021-10-04,VZ,1,32
2021-10-04,CRM,0,32
2021-10-04,INTC,0,32
2021-10-04,BA,0,32
2021-10-04,BX,0,32
2021-10-04,NOC,1,32
2021-10-04,PYPL,0,32
2021-10-04,ENPH,0,32
2021-10-04,NIO,0,32
2021-10-04,ZS,0,32
2021-10-04,XPEV,0,32
2021-10-05,TSLA,0,37
2021-10-05,MSFT,1,37
2021-10-05,PG,1,37
2021-10-05,META,1,37
2021-10-05,AMZN,1,37
2021-10-05,GOOG,1,37
2021-10-05,AMD,1,37
2021-10-05,AAPL,1,37
2021-10-05,NFLX,1,37
2021-10-05,TSM,0,37
2021-10-05,KO,1,37
2021-10-05,F,0,37
2021-10-05,COST,1,37
2021-10-05,DIS,1,37
2021-10-05,VZ,0,37
2021-10-05,CRM,0,37
2021-10-05,INTC,1,37
2021-10-05,BA,1,37
2021-10-05,BX,1,37
2021-10-05,NOC,1,37
2021-10-05,PYPL,1,37
2021-10-05,ENPH,1,37
2021-10-05,NIO,1,37
2021-10-05,ZS,1,37
2021-10-05,XPEV,1,37
2021-10-06,TSLA,1,39
2021-10-06,MSFT,1,39
2021-10-06,PG,1,39
2021-10-06,META,1,39
2021-10-06,AMZN,1,39
2021-10-06,GOOG,1,39
2021-10-06,AMD,1,39
2021-10-06,AAPL,1,39
2021-10-06,NFLX,1,39
2021-10-06,TSM,1,39
2021-10-06,KO,1,39
2021-10-06,F,0,39
2021-10-06,COST,1,39
2021-10-06,DIS,1,39
2021-10-06,VZ,1,39
2021-10-06,CRM,1,39
2021-10-06,INTC,1,39
2021-10-06,BA,1,39
2021-10-06,BX,1,39
2021-10-06,NOC,1,39
2021-10-06,PYPL,1,39
2021-10-06,ENPH,1,39
2021-10-06,NIO,1,39
2021-10-06,ZS,1,39
2021-10-06,XPEV,1,39
2021-10-07,TSLA,1,86
2021-10-07,MSFT,0,86
2021-10-07,PG,1,86
2021-10-07,META,0,86
2021-10-07,AMZN,1,86
2021-10-07,GOOG,1,86
2021-10-07,AMD,1,86
2021-10-07,AAPL,1,86
2021-10-07,NFLX,0,86
2021-10-07,TSM,0,86
2021-10-07,KO,0,86
2021-10-07,F,1,86
2021-10-07,COST,0,86
2021-10-07,DIS,1,86
2021-10-07,VZ,0,86
2021-10-07,CRM,0,86
2021-10-07,INTC,0,86
2021-10-07,BA,0,86
2021-10-07,BX,1,86
2021-10-07,NOC,1,86
2021-10-07,PYPL,0,86
2021-10-07,ENPH,1,86
2021-10-07,NIO,1,86
2021-10-07,ZS,1,86
2021-10-07,XPEV,1,86
2021-10-08,TSLA,0,25
2021-10-08,MSFT,0,25
2021-10-08,PG,0,25
2021-10-08,META,0,25
2021-10-08,AMZN,0,25
2021-10-08,GOOG,1,25
2021-10-08,AMD,0,25
2021-10-08,AAPL,0,25
2021-10-08,NFLX,0,25
2021-10-08,TSM,0,25
2021-10-08,KO,1,25
2021-10-08,F,1,25
2021-10-08,COST,0,25
2021-10-08,DIS,0,25
2021-10-08,VZ,0,25
2021-10-08,CRM,0,25
2021-10-08,INTC,0,25
2021-10-08,BA,0,25
2021-10-08,BX,1,25
2021-10-08,NOC,1,25
2021-10-08,PYPL,0,25
2021-10-08,ENPH,0,25
2021-10-08,NIO,0,25
2021-10-08,ZS,0,25
2021-10-08,XPEV,0,25
2021-10-11,TSLA,1,14
2021-10-11,MSFT,1,14
2021-10-11,PG,0,14
2021-10-11,META,0,14
2021-10-11,AMZN,0,14
2021-10-11,GOOG,0,14
2021-10-11,AMD,1,14
2021-10-11,AAPL,1,14
2021-10-11,NFLX,0,14
2021-10-11,TSM,1,14
2021-10-11,KO,1,14
2021-10-11,F,0,14
2021-10-11,COST,0,14
2021-10-11,DIS,0,14
2021-10-11,VZ,0,14
2021-10-11,CRM,1,14
2021-10-11,INTC,0,14
2021-10-11,BA,0,14
2021-10-11,BX,0,14
2021-10-11,NOC,1,14
2021-10-11,PYPL,0,14
2021-10-11,ENPH,1,14
2021-10-11,NIO,0,14
2021-10-11,ZS,1,14
2021-10-11,XPEV,0,14
2021-10-12,TSLA,1,53
2021-10-12,MSFT,0,53
2021-10-12,PG,0,53
2021-10-12,META,1,53
2021-10-12,AMZN,0,53
2021-10-12,GOOG,0,53
2021-10-12,AMD,0,53
2021-10-12,AAPL,0,53
2021-10-12,NFLX,0,53
2021-10-12,TSM,0,53
2021-10-12,KO,0,53
2021-10-12,F,1,53
2021-10-12,COST,0,53
2021-10-12,DIS,0,53
2021-10-12,VZ,0,53
2021-10-12,CRM,1,53
2021-10-12,INTC,0,53
2021-10-12,BA,0,53
2021-10-12,BX,0,53
2021-10-12,NOC,0,53
2021-10-12,PYPL,0,53
2021-10-12,ENPH,1,53
2021-10-12,NIO,0,53
2021-10-12,ZS,1,53
2021-10-12,XPEV,0,53
2021-10-13,TSLA,1,19
2021-10-13,MSFT,1,19
2021-10-13,PG,1,19
2021-10-13,META,0,19
2021-10-13,AMZN,1,19
2021-10-13,GOOG,1,19
2021-10-13,AMD,1,19
2021-10-13,AAPL,0,19
2021-10-13,NFLX,0,19
2021-10-13,TSM,1,19
2021-10-13,KO,1,19
2021-10-13,F,0,19
2021-10-13,COST,0,19
2021-10-13,DIS,0,19
2021-10-13,VZ,1,19
2021-10-13,CRM,1,19
2021-10-13,INTC,0,19
2021-10-13,BA,0,19
2021-10-13,BX,1,19
2021-10-13,NOC,0,19
2021-10-13,PYPL,0,19
2021-10-13,ENPH,1,19
2021-10-13,NIO,1,19
2021-10-13,ZS,1,19
2021-10-13,XPEV,1,19
2021-10-14,TSLA,1,43
2021-10-14,MSFT,1,43
2021-10-14,PG,1,43
2021-10-14,META,1,43
2021-10-14,AMZN,0,43
2021-10-14,GOOG,1,43
2021-10-14,AMD,1,43
2021-10-14,AAPL,1,43
2021-10-14,NFLX,1,43
2021-10-14,TSM,0,43
2021-10-14,KO,1,43
2021-10-14,F,0,43
2021-10-14,COST,1,43
2021-10-14,DIS,1,43
2021-10-14,VZ,1,43
2021-10-14,CRM,1,43
2021-10-14,INTC,1,43
2021-10-14,BA,0,43
2021-10-14,BX,1,43
2021-10-14,NOC,0,43
2021-10-14,PYPL,1,43
2021-10-14,ENPH,0,43
2021-10-14,NIO,1,43
2021-10-14,ZS,1,43
2021-10-14,XPEV,1,43
2021-10-15,TSLA,1,68
2021-10-15,MSFT,1,68
2021-10-15,PG,0,68
2021-10-15,META,0,68
2021-10-15,AMZN,1,68
2021-10-15,GOOG,0,68
2021-10-15,AMD,0,68
2021-10-15,AAPL,1,68
2021-10-15,NFLX,0,68
2021-10-15,TSM,1,68
2021-10-15,KO,0,68
2021-10-15,F,1,68
2021-10-15,COST,0,68
2021-10-15,DIS,1,68
2021-10-15,VZ,1,68
2021-10-15,CRM,0,68
2021-10-15,INTC,1,68
2021-10-15,BA,0,68
2021-10-15,BX,0,68
2021-10-15,NOC,1,68
2021-10-15,PYPL,0,68
2021-10-15,ENPH,0,68
2021-10-15,NIO,1,68
2021-10-15,ZS,0,68
2021-10-15,XPEV,1,68
2021-10-18,TSLA,1,107
2021-10-18,MSFT,1,107
2021-10-18,PG,0,107
2021-10-18,META,1,107
2021-10-18,AMZN,1,107
2021-10-18,GOOG,1,107
2021-10-18,AMD,1,107
2021-10-18,AAPL,1,107
2021-10-18,NFLX,1,107
2021-10-18,TSM,1,107
2021-10-18,KO,0,107
2021-10-18,F,0,107
2021-10-18,COST,1,107
2021-10-18,DIS,0,107
2021-10-18,VZ,0,107
2021-10-18,CRM,1,107
2021-10-18,INTC,1,107
2021-10-18,BA,1,107
2021-10-18,BX,1,107
2021-10-18,NOC,0,107
2021-10-18,PYPL,1,107
2021-10-18,ENPH,1,107
2021-10-18,NIO,1,107
2021-10-18,ZS,1,107
2021-10-18,XPEV,1,107
2021-10-19,TSLA,0,35
2021-10-19,MSFT,0,35
2021-10-19,PG,1,35
2021-10-19,META,1,35
2021-10-19,AMZN,1,35
2021-10-19,GOOG,1,35
2021-10-19,AMD,1,35
2021-10-19,AAPL,1,35
2021-10-19,NFLX,1,35
2021-10-19,TSM,1,35
2021-10-19,KO,1,35
2021-10-19,F,0,35
2021-10-19,COST,1,35
2021-10-19,DIS,0,35
2021-10-19,VZ,1,35
2021-10-19,CRM,1,35
2021-10-19,INTC,1,35
2021-10-19,BA,0,35
2021-10-19,BX,1,35
2021-10-19,NOC,1,35
2021-10-19,PYPL,1,35
2021-10-19,ENPH,1,35
2021-10-19,NIO,0,35
2021-10-19,ZS,0,35
2021-10-19,XPEV,0,35
2021-10-20,TSLA,1,98
2021-10-20,MSFT,0,98
2021-10-20,PG,1,98
2021-10-20,META,0,98
2021-10-20,AMZN,0,98
2021-10-20,GOOG,0,98
2021-10-20,AMD,1,98
2021-10-20,AAPL,1,98
2021-10-20,NFLX,0,98
2021-10-20,TSM,0,98
2021-10-20,KO,1,98
2021-10-20,F,1,98
2021-10-20,COST,1,98
2021-10-20,DIS,0,98
2021-10-20,VZ,1,98
2021-10-20,CRM,0,98
2021-10-20,INTC,1,98
2021-10-20,BA,1,98
2021-10-20,BX,1,98
2021-10-20,NOC,1,98
2021-10-20,PYPL,0,98
2021-10-20,ENPH,0,98
2021-10-20,NIO,0,98
2021-10-20,ZS,0,98
2021-10-20,XPEV,1,98
2021-10-21,TSLA,1,78
2021-10-21,MSFT,1,78
2021-10-21,PG,0,78
2021-10-21,META,1,78
2021-10-21,AMZN,1,78
2021-10-21,GOOG,1,78
2021-10-21,AMD,1,78
2021-10-21,AAPL,1,78
2021-10-21,NFLX,1,78
2021-10-21,TSM,1,78
2021-10-21,KO,0,78
2021-10-21,F,1,78
2021-10-21,COST,1,78
